Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Liverpool,22,16,5,1,54,21,+33,53,2.41,51.4,19.2,+32.2,+1.46,W,"60,276",Mohamed Salah,Alisson,
2,Arsenal,23,13,8,2,44,21,+23,47,2.04,37.6,20.2,+17.4,+0.76,W,"60,269",Kai Havertz,David Raya,
3,Nott'ham Forest,23,13,5,5,33,27,+6,44,1.91,28.4,25.9,+2.5,+0.11,W,"30,046",Chris Wood,Matz Sels,
4,Manchester City,23,12,5,6,47,30,+17,41,1.78,43.6,32.9,+10.6,+0.46,W,"52,969",Erling Haaland,Ederson,
5,Newcastle Utd,23,12,5,6,41,27,+14,41,1.78,40.4,27.8,+12.6,+0.55,W,"52,187",Alexander Isak,Nick Pope,
6,Chelsea,23,11,7,5,45,30,+15,40,1.74,46.8,33.2,+13.6,+0.59,L,"39,622",Cole Palmer,Robert Sánchez,
7,Bournemouth,23,11,7,5,41,26,+15,40,1.74,44.1,28.6,+15.5,+0.67,D,"11,211",Justin Kluivert,Kepa Arrizabalaga,
8,Aston Villa,22,10,6,6,33,34,-1,36,1.64,32.9,26.9,+6.0,+0.27,L,"41,901",Ollie Watkins,Emiliano Martínez,
9,Brighton,23,8,10,5,35,31,+4,34,1.48,31.5,33.1,-1.6,-0.07,D,"32,529",Danny Welbeck,Bart Verbruggen,
10,Fulham,22,8,9,5,34,30,+4,33,1.50,31.7,26.6,+5.1,+0.23,W,"26,407",Raúl Jiménez,Bernd Leno,
11,Brentford,22,8,4,10,40,39,+1,28,1.27,35.2,37.5,-2.3,-0.11,D,"19,532",Bryan Mbeumo,Mark Flekken,
12,Crystal Palace,22,6,9,7,25,28,-3,27,1.23,30.1,30.1,0.0,0.00,D,"25,143",Jean-Philippe Mateta,Dean Henderson,
13,Manchester Utd,22,7,5,10,27,32,-5,26,1.18,32.5,33.2,-0.7,-0.03,L,"73,717",Amad Diallo,André Onana,
14,West Ham,22,7,5,10,27,43,-16,26,1.18,29.4,39.1,-9.7,-0.44,W,"62,468",Tomáš Souček,Łukasz Fabiański,
15,Tottenham,22,7,3,12,45,35,+10,24,1.09,37.8,36.9,+0.9,+0.04,L,"61,339",James Maddison,Guglielmo Vicario,
16,Everton,22,5,8,9,19,28,-9,23,1.05,21.9,29.7,-7.8,-0.35,L,"37,809",Iliman Ndiaye,Jordan Pickford,
17,Wolves,23,4,4,15,32,52,-20,16,0.70,23.9,39.0,-15.0,-0.65,D,"30,650",Matheus Cunha,José Sá,
18,Ipswich Town,23,3,7,13,21,47,-26,16,0.70,20.5,47.0,-26.5,-1.15,W,"29,744",Liam Delap,Arijanet Muric,
19,Leicester City,22,3,5,14,23,48,-25,14,0.64,21.5,43.1,-21.6,-0.98,L,"31,556",Jamie Vardy,Mads Hermansen,
20,Southampton,23,1,3,19,16,53,-37,6,0.26,22.8,54.0,-31.2,-1.36,L,"31,133",Adam Armstrong,Aaron Ramsdale,
